I, [2017-01-12T16:24:36.434623 #19828]  INFO -- Kitchen: -----> Starting Kitchen (v1.11.1)
E, [2017-01-12T16:24:36.435023 #19828] ERROR -- Kitchen: ------Exception-------
E, [2017-01-12T16:24:36.435049 #19828] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-01-12T16:24:36.435067 #19828] ERROR -- Kitchen: Message: Kitchen YAML file /Users/cseymour/claude_scripts/ORG_PROJECT/.kitchen.yml does not exist.
E, [2017-01-12T16:24:36.435089 #19828] ERROR -- Kitchen: ----------------------
E, [2017-01-12T16:24:36.435108 #19828] ERROR -- Kitchen: ------Backtrace-------
E, [2017-01-12T16:24:36.435121 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2017-01-12T16:24:36.435167 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:154:in `data'
E, [2017-01-12T16:24:36.435193 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:133:in `suites'
E, [2017-01-12T16:24:36.435215 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:184:in `filter_instances'
E, [2017-01-12T16:24:36.435238 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:143:in `build_instances'
E, [2017-01-12T16:24:36.435260 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:119:in `instances'
E, [2017-01-12T16:24:36.435282 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2017-01-12T16:24:36.435302 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2017-01-12T16:24:36.435316 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/command/action.rb:38:in `block in call'
E, [2017-01-12T16:24:36.435357 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2017-01-12T16:24:36.435370 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/command/action.rb:37:in `call'
E, [2017-01-12T16:24:36.435386 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/cli.rb:56:in `perform'
E, [2017-01-12T16:24:36.435398 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/cli.rb:185:in `block (2 levels) in <class:CLI>'
E, [2017-01-12T16:24:36.435409 #19828] ERROR -- Kitchen: /Users/cseymour/.chefdk/gem/ruby/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-01-12T16:24:36.435475 #19828] ERROR -- Kitchen: /Users/cseymour/.chefdk/gem/ruby/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-01-12T16:24:36.435497 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/cli.rb:326:in `invoke_task'
E, [2017-01-12T16:24:36.435517 #19828] ERROR -- Kitchen: /Users/cseymour/.chefdk/gem/ruby/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-01-12T16:24:36.435537 #19828] ERROR -- Kitchen: /Users/cseymour/.chefdk/gem/ruby/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-01-12T16:24:36.435557 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/bin/kitchen:13:in `block in <top (required)>'
E, [2017-01-12T16:24:36.435580 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2017-01-12T16:24:36.435601 #19828] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/bin/kitchen:13:in `<top (required)>'
E, [2017-01-12T16:24:36.435621 #19828] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:18:in `load'
E, [2017-01-12T16:24:36.435641 #19828] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:18:in `<main>'
E, [2017-01-12T16:24:36.435675 #19828] ERROR -- Kitchen: ----End Backtrace-----
